host,guest,odds,result

克里夫兰骑士,纽约尼克斯,-9.5,赢

波特兰开拓者,犹他爵士,-5.5,赢

金州勇士,圣安东尼奥马刺,-8.5,输

奥兰多魔术,迈阿密热火,-4.5,输

印第安纳步行者,达拉斯独行侠,-6.5,赢

多伦多猛龙,底特律活塞,-7.5,赢

波士顿凯尔特人,布鲁克林篮网队,-12.5,输

孟菲斯灰熊,明尼苏达森林狼,0.0,赢

费城76人,俄克拉荷马雷霆,8.5,赢

新奥尔良鹈鹕,丹佛掘金,-2.5,输

密尔沃基雄鹿,夏洛特黄蜂,1.5,输

菲尼克斯太阳,萨克拉门托国王,-2.5,输

洛杉矶湖人,休斯顿火箭,6.5,赢

亚特兰大老鹰,华盛顿奇才,-4.5,赢

芝加哥公牛,波士顿凯尔特人,-1.5,赢

萨克拉门托国王,圣安东尼奥马刺,8.5,赢

波特兰开拓者,洛杉矶快船,2.5,输

多伦多猛龙,克里夫兰骑士,2.5,输

布鲁克林篮网队,印第安纳步行者,6.5,赢

底特律活塞,奥兰多魔术,-4.5,赢

迈阿密热火,夏洛特黄蜂,0.0,输

俄克拉荷马雷霆,菲尼克斯太阳,-8.5,输

达拉斯独行侠,休斯顿火箭,2.5,输

犹他爵士,洛杉矶湖人,-8.5,输

新奥尔良鹈鹕,金州勇士,10.5,赢

费城76人,亚特兰大老鹰,7.5,输

夏洛特黄蜂,波士顿凯尔特人,2.5,输

克里夫兰骑士,奥兰多魔术,-12.5,输

纽约尼克斯,孟菲斯灰熊,-2.5,赢

芝加哥公牛,印第安纳步行者,-3.5,赢

密尔沃基雄鹿,布鲁克林篮网队,-6.5,输

圣安东尼奥马刺,新奥尔良鹈鹕,-13.5,赢

丹佛掘金,波特兰开拓者,1.5,输

萨克拉门托国王,明尼苏达森林狼,-1.5,赢

洛杉矶快船,犹他爵士,-7.5,赢

迈阿密热火,圣安东尼奥马刺,6.5,输

底特律活塞,密尔沃基雄鹿,-7.5,赢

菲尼克斯太阳,金州勇士,11.5,赢

孟菲斯灰熊,华盛顿奇才,2.5,赢

俄克拉荷马雷霆,洛杉矶湖人,-7.5,赢

休斯顿火箭,达拉斯独行侠,-5.5,输

布鲁克林篮网队,芝加哥公牛,6.5,输

多伦多猛龙,丹佛掘金,-7.5,输

亚特兰大老鹰,萨克拉门托国王,-7.5,赢

洛杉矶快船,菲尼克斯太阳,-11.5,赢

费城76人,奥兰多魔术,5.5,赢

印第安纳步行者,洛杉矶湖人,-8.5,输

克里夫兰骑士,休斯顿火箭,-9.5,输

底特律活塞,纽约尼克斯,-4.5,赢

迈阿密热火,萨克拉门托国王,-3.5,赢

新奥尔良鹈鹕,密尔沃基雄鹿,-3.5,输

明尼苏达森林狼,孟菲斯灰熊,-6.5,赢

圣安东尼奥马刺,犹他爵士,-10.5,输

波特兰开拓者,金州勇士,4.5,输

华盛顿奇才,多伦多猛龙,0.0,输

夏洛特黄蜂,费城76人,-12.5,赢

布鲁克林篮网队,底特律活塞,4.5,赢

亚特兰大老鹰,洛杉矶湖人,-11.5,输

纽约尼克斯,休斯顿火箭,0.0,输

孟菲斯灰熊,新奥尔良鹈鹕,-5.5,赢

波士顿凯尔特人,芝加哥公牛,-3.5,赢

犹他爵士,达拉斯独行侠,-3.5,赢

菲尼克斯太阳,波特兰开拓者,3.5,赢

洛杉矶快船,俄克拉荷马雷霆,-7.5,输

奥兰多魔术,萨克拉门托国王,-1.5,赢

明尼苏达森林狼,丹佛掘金,-3.5,输

密尔沃基雄鹿,印第安纳步行者,2.5,赢

克里夫兰骑士,波士顿凯尔特人,-9.5,输

金州勇士,俄克拉荷马雷霆,-11.5,赢

华盛顿奇才,亚特兰大老鹰,-1.5,赢

布鲁克林篮网队,夏洛特黄蜂,6.5,赢

多伦多猛龙,迈阿密热火,-7.5,赢

芝加哥公牛,纽约尼克斯,-6.5,输

孟菲斯灰熊,洛杉矶快船,5.5,输

新奥尔良鹈鹕,菲尼克斯太阳,-2.5,输

达拉斯独行侠,波特兰开拓者,2.5,输

犹他爵士,圣安东尼奥马刺,3.5,输

洛杉矶湖人,金州勇士,10.5,赢

俄克拉荷马雷霆,明尼苏达森林狼,-5.5,赢

底特律活塞,丹佛掘金,-4.5,赢

奥兰多魔术,华盛顿奇才,-5.5,输

费城76人,克里夫兰骑士,13.5,赢

印第安纳步行者,芝加哥公牛,-2.5,赢

亚特兰大老鹰,休斯顿火箭,-2.5,赢

密尔沃基雄鹿,萨克拉门托国王,-2.5,赢

圣安东尼奥马刺,洛杉矶快船,-4.5,输

纽约尼克斯,犹他爵士,1.5,输

孟菲斯灰熊,波特兰开拓者,0.0,输

多伦多猛龙,萨克拉门托国王,-9.5,输

达拉斯独行侠,密尔沃基雄鹿,-2.5,赢

波士顿凯尔特人,丹佛掘金,-7.5,输

洛杉矶湖人,菲尼克斯太阳,-3.5,赢

费城76人,犹他爵士,6.5,输

夏洛特黄蜂,印第安纳步行者,-3.5,赢

华盛顿奇才,休斯顿火箭,-1.5,输

俄克拉荷马雷霆,迈阿密热火,-5.5,赢

芝加哥公牛,奥兰多魔术,-7.5,赢

洛杉矶快船,底特律活塞,-8.5,赢

金州勇士,新奥尔良鹈鹕,-17.5,输

克里夫兰骑士,亚特兰大老鹰,-7.5,输

布鲁克林篮网队,明尼苏达森林狼,4.5,赢

孟菲斯灰熊,丹佛掘金,-3.5,输

波特兰开拓者,菲尼克斯太阳,-7.5,输

萨克拉门托国王,新奥尔良鹈鹕,-5.5,赢

洛杉矶湖人,达拉斯独行侠,-4.5,输

夏洛特黄蜂,犹他爵士,-2.5,赢

奥兰多魔术,明尼苏达森林狼,-2.5,输

纽约尼克斯,布鲁克林篮网队,-8.5,赢

华盛顿奇才,波士顿凯尔特人,-1.5,赢

印第安纳步行者,费城76人,-11.5,输

亚特兰大老鹰,芝加哥公牛,-3.5,赢

俄克拉荷马雷霆,多伦多猛龙,-3.5,输

菲尼克斯太阳,底特律活塞,3.5,赢

圣安东尼奥马刺,休斯顿火箭,-8.5,输

金州勇士,达拉斯独行侠,-15.5,赢

洛杉矶快船,波特兰开拓者,-10.5,赢

迈阿密热火,芝加哥公牛,-1.5,输

密尔沃基雄鹿,新奥尔良鹈鹕,-4.5,输

丹佛掘金,金州勇士,6.5,输

萨克拉门托国王,洛杉矶湖人,-5.5,输

华盛顿奇才,克里夫兰骑士,7.5,输

费城76人,印第安纳步行者,4.5,赢

夏洛特黄蜂,多伦多猛龙,-1.5,输

奥兰多魔术,犹他爵士,4.5,输

波士顿凯尔特人,纽约尼克斯,-5.5,赢

俄克拉荷马雷霆,洛杉矶快船,4.5,赢

圣安东尼奥马刺,底特律活塞,-8.5,赢

波特兰开拓者,萨克拉门托国王,-6.5,输

印第安纳步行者,波士顿凯尔特人,0.0,输

新奥尔良鹈鹕,洛杉矶湖人,0.0,输

多伦多猛龙,纽约尼克斯,-7.5,赢

亚特兰大老鹰,费城76人,-14.5,赢

明尼苏达森林狼,洛杉矶快船,4.5,输

迈阿密热火,犹他爵士,1.5,输

芝加哥公牛,华盛顿奇才,-9.5,赢

休斯顿火箭,圣安东尼奥马刺,1.5,输

密尔沃基雄鹿,孟菲斯灰熊,-2.5,赢

丹佛掘金,底特律活塞,-4.5,输

菲尼克斯太阳,布鲁克林篮网队,-4.5,输

克里夫兰骑士,夏洛特黄蜂,-7.5,输

明尼苏达森林狼,洛杉矶湖人,-1.5,赢

俄克拉荷马雷霆,奥兰多魔术,-9.5,输

金州勇士,菲尼克斯太阳,-16.5,输

波特兰开拓者,丹佛掘金,-7.5,输

印第安纳步行者,奥兰多魔术,-7.5,赢

底特律活塞,俄克拉荷马雷霆,0.0,赢

纽约尼克斯,达拉斯独行侠,-3.5,赢

新奥尔良鹈鹕,波士顿凯尔特人,4.5,赢

休斯顿火箭,费城76人,-11.5,赢

圣安东尼奥马刺,迈阿密热火,-11.5,输

犹他爵士,孟菲斯灰熊,-6.5,输

洛杉矶快船,布鲁克林篮网队,-15.5,赢

克里夫兰骑士,多伦多猛龙,-5.5,输

迈阿密热火,亚特兰大老鹰,6.5,赢

明尼苏达森林狼,夏洛特黄蜂,0.0,输

波特兰开拓者,芝加哥公牛,-3.5,输

